ID,Total Edits,Edit Time,Date
140350,97,27058,3/5/2015
140350,52,16556,3/7/2015
140350,80,18497,3/8/2015
140350,61,15528,3/10/2015
140350,60,18213,3/11/2015
140350,88,24066,3/12/2015
140350,24,4837,3/13/2015
140350,90,23333,3/14/2015
140350,80,21829,3/15/2015
140350,71,20661,3/16/2015
140350,83,21776,3/17/2015
140350,83,22740,3/18/2015
140350,76,22072,3/19/2015
140350,88,21643,3/21/2015
140350,49,20276,3/22/2015
140351,47,13106,3/2/2015
140351,102,26349,3/3/2015
140351,73,17599,3/4/2015
140351,81,19656,3/5/2015
140351,147,36940,3/6/2015
140351,110,28133,3/7/2015
140351,85,19810,3/8/2015
140351,107,17523,3/9/2015
140351,61,17019,3/10/2015
140351,87,18035,3/11/2015
140351,72,16464,3/12/2015
140351,113,27695,3/13/2015
140351,96,22700,3/14/2015
140351,87,18671,3/16/2015
140351,86,18456,3/17/2015
140351,73,17455,3/18/2015
140351,63,18510,3/19/2015
140351,68,19359,3/20/2015
140351,77,17663,3/21/2015
140354,78,23830,3/2/2015
140354,78,27226,3/3/2015
140354,116,36515,3/4/2015
140354,84,25962,3/5/2015
140354,86,25663,3/6/2015
140354,74,25790,3/7/2015
140354,85,14548,3/9/2015
140354,67,21749,3/10/2015
140354,81,26079,3/11/2015
140354,68,22214,3/12/2015
140354,64,25591,3/13/2015
140354,87,29045,3/14/2015
140354,86,33882,3/15/2015
140354,78,30690,3/16/2015
140354,79,25564,3/17/2015
140354,81,24663,3/18/2015
140354,55,24836,3/19/2015
140354,84,26556,3/20/2015
140354,66,26180,3/22/2015
140357,13,6104,3/2/2015
140357,66,21671,3/3/2015
140357,61,19827,3/4/2015
140357,58,19513,3/5/2015
140357,57,17668,3/6/2015
140357,53,18484,3/7/2015
140357,5,0,3/9/2015
140357,52,16950,3/10/2015
140357,8,2747,3/11/2015
140357,47,14983,3/12/2015
140357,8,2932,3/13/2015
140357,56,22765,3/14/2015
140357,27,20187,3/15/2015
140357,40,19026,3/17/2015
140357,2,4620,3/18/2015
140357,9,9811,3/19/2015
140357,22,22509,3/20/2015
140357,13,16122,3/21/2015
140357,3,3246,3/22/2015
140360,96,18828,3/3/2015
140360,72,17218,3/4/2015
140360,83,17564,3/5/2015
140360,81,18053,3/6/2015
140360,124,25210,3/7/2015
140360,83,16953,3/9/2015
140360,96,19333,3/10/2015
140360,75,19076,3/11/2015
140360,73,18903,3/12/2015
140360,94,28053,3/13/2015
140360,111,26247,3/14/2015
140360,79,16016,3/16/2015
140360,76,17024,3/17/2015
140360,65,19178,3/18/2015
140360,60,18517,3/19/2015
140360,96,18814,3/20/2015
140360,104,20365,3/21/2015
140361,81,24268,3/1/2015
140361,72,20424,3/2/2015
140361,82,23087,3/3/2015
140361,57,19183,3/4/2015
140361,67,21643,3/5/2015
140361,67,19583,3/6/2015
140361,79,24249,3/8/2015
140361,56,21013,3/9/2015
